id,value
remesa,
remesa.Agriculture,
"remesa.Agriculture.Food,Health,Agriculture",1
"remesa.Agriculture.Health,HousingWork,Agriculture",1
remesa.Business,
remesa.Business.Business,2
"remesa.Business.Food,Utilities,Business",1
"remesa.Business.Utilities,Business",1
remesa.Clothes,
remesa.Clothes.Clothes,3
"remesa.Clothes.Clothes,Other",1
"remesa.Clothes.Education,Utilities,Clothes",1
remesa.Covid,
remesa.Covid.Covid,2
"remesa.Covid.Food,Covid",2
remesa.Education,
remesa.Education.Education,7
"remesa.Education.Education,Clothes",1
"remesa.Education.Education,Other",1
"remesa.Education.Education,Utilities",2
"remesa.Education.Food,Education",3
"remesa.Education.Food,Education,HousingRent",1
"remesa.Education.Food,Health,Education",5
remesa.Food,
remesa.Food.Food,300
"remesa.Food.Food,AbroadPayments,Other",1
"remesa.Food.Food,Agriculture",2
"remesa.Food.Food,Agriculture,Other",1
"remesa.Food.Food,Business,Saving",1
"remesa.Food.Food,Clothes",22
"remesa.Food.Food,Clothes,Agriculture",2
"remesa.Food.Food,Clothes,Other",3
"remesa.Food.Food,Clothes,OtherDebt",2
"remesa.Food.Food,Clothes,Saving",2
"remesa.Food.Food,Clothes,TravelDebt",1
"remesa.Food.Food,Covid",9
"remesa.Food.Food,Covid,Education",1
"remesa.Food.Food,Covid,OtherDebt",1
"remesa.Food.Food,Covid,Saving",1
"remesa.Food.Food,Covid,Utilities",9
"remesa.Food.Food,Education",17
"remesa.Food.Food,Education,Business",1
"remesa.Food.Food,Education,Clothes",5
"remesa.Food.Food,Education,HousingRent",2
"remesa.Food.Food,Education,HousingWork",2
"remesa.Food.Food,Education,Saving",1
"remesa.Food.Food,Education,TravelDebt",2
"remesa.Food.Food,Education,Utilities",32
"remesa.Food.Food,Health",172
"remesa.Food.Food,Health,Agriculture",4
"remesa.Food.Food,Health,Business",1
"remesa.Food.Food,Health,Clothes",11
"remesa.Food.Food,Health,Covid",14
"remesa.Food.Food,Health,Education",33
"remesa.Food.Food,Health,HomePurchase",1
"remesa.Food.Food,Health,HousingRent",2
"remesa.Food.Food,Health,HousingWork",7
"remesa.Food.Food,Health,Other",5
"remesa.Food.Food,Health,OtherDebt",1
"remesa.Food.Food,Health,Saving",5
"remesa.Food.Food,Health,TravelDebt",1
"remesa.Food.Food,Health,Utilities",164
"remesa.Food.Food,HousingWork",8
"remesa.Food.Food,HousingWork,Other",1
"remesa.Food.Food,HousingWork,Saving",1
"remesa.Food.Food,HousingWork,TravelDebt",2
"remesa.Food.Food,Other",6
"remesa.Food.Food,OtherDebt",4
"remesa.Food.Food,OtherDebt,Other",1
"remesa.Food.Food,Saving",4
"remesa.Food.Food,Saving,AbroadPayments",1
"remesa.Food.Food,Saving,TravelDebt",1
"remesa.Food.Food,TravelDebt",3
"remesa.Food.Food,Utilities",181
"remesa.Food.Food,Utilities,AbroadPayments",2
"remesa.Food.Food,Utilities,Agriculture",3
"remesa.Food.Food,Utilities,Business",5
"remesa.Food.Food,Utilities,Clothes",32
"remesa.Food.Food,Utilities,HomePurchase",1
"remesa.Food.Food,Utilities,HousingRent",2
"remesa.Food.Food,Utilities,HousingWork",10
"remesa.Food.Food,Utilities,Other",7
"remesa.Food.Food,Utilities,OtherDebt",1
"remesa.Food.Food,Utilities,Saving",4
"remesa.Food.Food,Utilities,TravelDebt",2
remesa.Health,
"remesa.Health.Food,Health",23
"remesa.Health.Food,Health,Clothes",2
"remesa.Health.Food,Health,Covid",1
"remesa.Health.Food,Health,Education",1
"remesa.Health.Food,Health,HomePurchase",1
"remesa.Health.Food,Health,HousingRent",1
"remesa.Health.Food,Health,Saving",3
"remesa.Health.Food,Health,Utilities",29
remesa.Health.Health,69
"remesa.Health.Health,Agriculture",1
"remesa.Health.Health,Clothes",1
"remesa.Health.Health,Covid,Utilities",1
"remesa.Health.Health,Education",3
"remesa.Health.Health,Education,Utilities",1
"remesa.Health.Health,HousingRent",1
"remesa.Health.Health,Other",2
"remesa.Health.Health,Utilities",5
"remesa.Health.Health,Utilities,Clothes",1
remesa.HomePurchase,
remesa.HomePurchase.HomePurchase,1
"remesa.HomePurchase.HomePurchase,OtherDebt",1
remesa.HousingRent,
"remesa.HousingRent.Food,Health,HousingRent",1
remesa.HousingRent.HousingRent,1
remesa.HousingWork,
"remesa.HousingWork.Food,Health,HousingWork",3
"remesa.HousingWork.Food,HousingWork",2
"remesa.HousingWork.Food,HousingWork,Agriculture",1
"remesa.HousingWork.Food,HousingWork,TravelDebt",1
"remesa.HousingWork.Food,Utilities,HousingWork",3
remesa.HousingWork.HousingWork,10
"remesa.HousingWork.HousingWork,Agriculture",1
"remesa.HousingWork.Utilities,HousingWork",2
remesa.NR,
remesa.NR.NR,8
remesa.Other,
"remesa.Other.Food,Clothes,Other",1
"remesa.Other.Food,Other",2
remesa.Other.Other,8
remesa.OtherDebt,
"remesa.OtherDebt.Food,OtherDebt",2
remesa.OtherDebt.OtherDebt,1
remesa.Saving,
"remesa.Saving.Food,Clothes,Saving",1
"remesa.Saving.Food,Education,Saving",1
"remesa.Saving.Food,Saving",4
"remesa.Saving.Food,Utilities,Saving",2
"remesa.Saving.Health,Saving",1
remesa.Saving.Saving,2
remesa.TravelDebt,
"remesa.TravelDebt.Food,HousingWork,TravelDebt",1
"remesa.TravelDebt.Food,TravelDebt",3
"remesa.TravelDebt.Food,Utilities,TravelDebt",1
"remesa.TravelDebt.Health,Saving,TravelDebt",1
remesa.TravelDebt.TravelDebt,6
"remesa.Utilities.Food,Education,Utilities",2
"remesa.Utilities.Food,Health,Utilities",6
"remesa.Utilities.Food,Utilities",11
"remesa.Utilities.Food,Utilities,AbroadPayments",1
"remesa.Utilities.Food,Utilities,HousingRent",1
"remesa.Utilities.Food,Utilities,Saving",1
"remesa.Utilities.Health,Utilities",3
"remesa.Utilities.Health,Utilities,Other",1
remesa.Utilities.Utilities,11
"remesa.Utilities.Utilities,Business",1
"remesa.Utilities.Utilities,HousingWork,HomePurchase",1
"remesa.Utilities.Utilities,OtherDebt",1
